fecha_aplicacion,jurisdiccion_aplicacion_id,aplicadas,csumaplicadas,labeldistrito
2021-01-26,82,316,21550,Santa Fe
2021-01-26,86,22,5860,S del Estero
2021-01-26,90,245,9704,Tucuman
2021-01-26,94,40,1334,T del Fuego
2021-01-27,2,34,25296,CABA
2021-01-27,6,2746,112777,Buenos Aires
2021-01-27,18,175,6908,Corrientes
2021-01-27,30,168,9750,Entre Rios
2021-01-27,50,237,10869,Mendoza
2021-01-27,62,5,4509,Rio Negro
2021-01-27,70,219,3706,San Juan
2021-01-27,74,5,2966,San Luis
2021-01-27,82,221,21771,Santa Fe
2021-01-27,86,37,5897,S del Estero
2021-01-27,90,232,9936,Tucuman
2021-01-27,94,21,1355,T del Fuego
2021-01-28,2,35,25331,CABA
2021-01-28,6,343,113120,Buenos Aires
2021-01-28,14,12,22471,Cordoba
2021-01-28,30,116,9866,Entre Rios
2021-01-28,46,10,2871,La Rioja
2021-01-28,50,255,11124,Mendoza
2021-01-28,62,21,4530,Rio Negro
2021-01-28,70,230,3936,San Juan
2021-01-28,74,10,2976,San Luis
2021-01-28,82,272,22043,Santa Fe
2021-01-28,86,9,5906,S del Estero
2021-01-28,90,124,10060,Tucuman
2021-01-28,94,11,1366,T del Fuego
2021-01-29,2,22,25353,CABA
2021-01-29,6,381,113501,Buenos Aires
2021-01-29,10,1,2572,Catamarca
2021-01-29,14,1,22472,Cordoba
2021-01-29,18,1,6909,Corrientes
2021-01-29,22,3,8100,Chaco
2021-01-29,30,75,9941,Entre Rios
2021-01-29,46,6,2877,La Rioja
2021-01-29,50,188,11312,Mendoza
2021-01-29,54,11,5550,Misiones
2021-01-29,58,2,3671,Neuquen
2021-01-29,66,1,8059,Salta
2021-01-29,70,286,4222,San Juan
2021-01-29,74,56,3032,San Luis
2021-01-29,82,228,22271,Santa Fe
2021-01-29,86,10,5916,S del Estero
2021-01-29,90,179,10239,Tucuman
2021-01-29,94,11,1377,T del Fuego
2021-01-30,6,183,113684,Buenos Aires
2021-01-30,14,7,22479,Cordoba
2021-01-30,18,1,6910,Corrientes
2021-01-30,22,2,8102,Chaco
2021-01-30,34,5,3461,Formosa
2021-01-30,78,5,2293,Santa Cruz
2021-01-31,6,3,113687,Buenos Aires
2021-01-31,10,1,2573,Catamarca
2021-01-31,22,1,8103,Chaco
2021-01-31,30,1,9942,Entre Rios
2021-01-31,38,1,4518,Jujuy
2021-01-31,86,1,5917,S del Estero
2021-02-01,2,16,25369,CABA
2021-02-01,6,1589,115276,Buenos Aires
2021-02-01,10,1,2574,Catamarca
2021-02-01,14,8,22487,Cordoba
2021-02-01,18,3,6913,Corrientes
2021-02-01,22,7,8110,Chaco
2021-02-01,30,27,9969,Entre Rios
2021-02-01,34,10,3471,Formosa
2021-02-01,38,2,4520,Jujuy
2021-02-01,42,4,2269,La Pampa
2021-02-01,46,3,2880,La Rioja
2021-02-01,50,76,11388,Mendoza
2021-02-01,54,2,5552,Misiones
2021-02-01,62,6,4536,Rio Negro
2021-02-01,66,4,8063,Salta
2021-02-01,70,138,4360,San Juan
2021-02-01,74,10,3042,San Luis
2021-02-01,78,1,2294,Santa Cruz
2021-02-01,82,179,22450,Santa Fe
2021-02-01,86,5,5922,S del Estero
2021-02-01,90,186,10425,Tucuman
2021-02-01,94,6,1383,T del Fuego
2021-02-02,2,1732,27101,CABA
2021-02-02,6,1747,117023,Buenos Aires
2021-02-02,14,635,23122,Cordoba
2021-02-02,18,237,7150,Corrientes
2021-02-02,22,2,8112,Chaco
2021-02-02,26,10,3123,Chubut
2021-02-02,30,13,9982,Entre Rios
2021-02-02,34,5,3476,Formosa
2021-02-02,42,350,2619,La Pampa
2021-02-02,46,3,2883,La Rioja
2021-02-02,50,48,11436,Mendoza
2021-02-02,54,5,5557,Misiones
2021-02-02,62,2,4538,Rio Negro
2021-02-02,66,347,8410,Salta
2021-02-02,70,142,4502,San Juan
2021-02-02,74,25,3067,San Luis
