fecha,vacunadostot100,iddistrito,distrito
2021-09-13,55,20,Santa Cruz
2021-09-13,67,21,Santa Fe
2021-09-13,64,23,T del Fuego
2021-09-13,60,24,Tucumán
2021-09-14,63,2,Buenos Aires
2021-09-14,74,1,CABA
2021-09-14,71,3,Catamarca
2021-09-14,60,6,Chaco
2021-09-14,59,7,Chubut
2021-09-14,65,4,Córdoba
2021-09-14,65,5,Corrientes
2021-09-14,63,8,Entre Ríos
2021-09-14,70,9,Formosa
2021-09-14,65,10,Jujuy
2021-09-14,67,11,La Pampa
2021-09-14,68,12,La Rioja
2021-09-14,62,13,Mendoza
2021-09-14,53,14,Misiones
2021-09-14,68,15,Neuquén
2021-09-14,66,16,Río Negro
2021-09-14,68,22,S del Estero
2021-09-14,57,17,Salta
2021-09-14,64,18,San Juan
2021-09-14,64,19,San Luis
2021-09-14,55,20,Santa Cruz
2021-09-14,67,21,Santa Fe
2021-09-14,64,23,T del Fuego
2021-09-14,60,24,Tucumán
2021-09-15,63,2,Buenos Aires
2021-09-15,74,1,CABA
2021-09-15,71,3,Catamarca
2021-09-15,60,6,Chaco
2021-09-15,59,7,Chubut
2021-09-15,65,4,Córdoba
2021-09-15,65,5,Corrientes
2021-09-15,63,8,Entre Ríos
2021-09-15,70,9,Formosa
2021-09-15,65,10,Jujuy
2021-09-15,67,11,La Pampa
2021-09-15,68,12,La Rioja
2021-09-15,62,13,Mendoza
2021-09-15,53,14,Misiones
2021-09-15,69,15,Neuquén
2021-09-15,66,16,Río Negro
2021-09-15,68,22,S del Estero
2021-09-15,57,17,Salta
2021-09-15,64,18,San Juan
2021-09-15,65,19,San Luis
2021-09-15,55,20,Santa Cruz
2021-09-15,67,21,Santa Fe
2021-09-15,64,23,T del Fuego
2021-09-15,60,24,Tucumán
2021-09-16,64,2,Buenos Aires
2021-09-16,74,1,CABA
2021-09-16,71,3,Catamarca
2021-09-16,60,6,Chaco
2021-09-16,59,7,Chubut
2021-09-16,65,4,Córdoba
2021-09-16,65,5,Corrientes
2021-09-16,63,8,Entre Ríos
2021-09-16,70,9,Formosa
2021-09-16,65,10,Jujuy
2021-09-16,67,11,La Pampa
2021-09-16,68,12,La Rioja
2021-09-16,62,13,Mendoza
2021-09-16,53,14,Misiones
2021-09-16,69,15,Neuquén
2021-09-16,66,16,Río Negro
2021-09-16,68,22,S del Estero
2021-09-16,57,17,Salta
2021-09-16,64,18,San Juan
2021-09-16,65,19,San Luis
2021-09-16,55,20,Santa Cruz
2021-09-16,67,21,Santa Fe
2021-09-16,64,23,T del Fuego
2021-09-16,60,24,Tucumán
2021-09-17,64,2,Buenos Aires
2021-09-17,74,1,CABA
2021-09-17,72,3,Catamarca
2021-09-17,60,6,Chaco
2021-09-17,59,7,Chubut
2021-09-17,65,4,Córdoba
2021-09-17,65,5,Corrientes
2021-09-17,63,8,Entre Ríos
2021-09-17,70,9,Formosa
2021-09-17,65,10,Jujuy
2021-09-17,67,11,La Pampa
2021-09-17,68,12,La Rioja
2021-09-17,62,13,Mendoza
2021-09-17,53,14,Misiones
2021-09-17,69,15,Neuquén
2021-09-17,66,16,Río Negro
2021-09-17,68,22,S del Estero
2021-09-17,57,17,Salta
2021-09-17,64,18,San Juan
2021-09-17,65,19,San Luis
2021-09-17,56,20,Santa Cruz
2021-09-17,67,21,Santa Fe
2021-09-17,65,23,T del Fuego
2021-09-17,60,24,Tucumán
2021-09-18,64,2,Buenos Aires
2021-09-18,74,1,CABA
2021-09-18,72,3,Catamarca
2021-09-18,60,6,Chaco
2021-09-18,59,7,Chubut
2021-09-18,65,4,Córdoba
2021-09-18,65,5,Corrientes
2021-09-18,63,8,Entre Ríos
2021-09-18,71,9,Formosa
2021-09-18,65,10,Jujuy
2021-09-18,67,11,La Pampa
2021-09-18,68,12,La Rioja
2021-09-18,62,13,Mendoza
2021-09-18,53,14,Misiones
2021-09-18,69,15,Neuquén
2021-09-18,66,16,Río Negro
2021-09-18,68,22,S del Estero
2021-09-18,57,17,Salta
2021-09-18,64,18,San Juan
2021-09-18,65,19,San Luis
2021-09-18,56,20,Santa Cruz
2021-09-18,67,21,Santa Fe
2021-09-18,65,23,T del Fuego
2021-09-18,60,24,Tucumán
2021-09-19,64,2,Buenos Aires
2021-09-19,74,1,CABA
2021-09-19,72,3,Catamarca
2021-09-19,60,6,Chaco
2021-09-19,59,7,Chubut
2021-09-19,65,4,Córdoba
2021-09-19,65,5,Corrientes
2021-09-19,63,8,Entre Ríos
2021-09-19,71,9,Formosa
2021-09-19,65,10,Jujuy
2021-09-19,67,11,La Pampa
2021-09-19,68,12,La Rioja
2021-09-19,62,13,Mendoza
2021-09-19,53,14,Misiones
2021-09-19,69,15,Neuquén
2021-09-19,66,16,Río Negro
2021-09-19,68,22,S del Estero
2021-09-19,57,17,Salta
2021-09-19,64,18,San Juan
2021-09-19,65,19,San Luis
2021-09-19,56,20,Santa Cruz
2021-09-19,67,21,Santa Fe
2021-09-19,65,23,T del Fuego
2021-09-19,60,24,Tucumán
2021-09-20,64,2,Buenos Aires
2021-09-20,75,1,CABA
2021-09-20,72,3,Catamarca
2021-09-20,60,6,Chaco
2021-09-20,59,7,Chubut
2021-09-20,66,4,Córdoba
2021-09-20,65,5,Corrientes
2021-09-20,64,8,Entre Ríos
2021-09-20,71,9,Formosa
2021-09-20,65,10,Jujuy
2021-09-20,67,11,La Pampa
2021-09-20,68,12,La Rioja
2021-09-20,62,13,Mendoza
2021-09-20,53,14,Misiones
2021-09-20,69,15,Neuquén
2021-09-20,66,16,Río Negro
2021-09-20,68,22,S del Estero
2021-09-20,57,17,Salta
2021-09-20,64,18,San Juan
2021-09-20,65,19,San Luis
2021-09-20,56,20,Santa Cruz
2021-09-20,67,21,Santa Fe
2021-09-20,65,23,T del Fuego
2021-09-20,61,24,Tucumán
2021-09-21,64,2,Buenos Aires
2021-09-21,75,1,CABA
2021-09-21,72,3,Catamarca
2021-09-21,60,6,Chaco
2021-09-21,59,7,Chubut
2021-09-21,66,4,Córdoba
2021-09-21,65,5,Corrientes
2021-09-21,64,8,Entre Ríos
2021-09-21,71,9,Formosa
2021-09-21,66,10,Jujuy
2021-09-21,67,11,La Pampa
2021-09-21,68,12,La Rioja
2021-09-21,62,13,Mendoza
2021-09-21,53,14,Misiones
2021-09-21,69,15,Neuquén
2021-09-21,66,16,Río Negro
2021-09-21,68,22,S del Estero
2021-09-21,57,17,Salta
2021-09-21,64,18,San Juan
2021-09-21,66,19,San Luis
2021-09-21,56,20,Santa Cruz
2021-09-21,67,21,Santa Fe
2021-09-21,65,23,T del Fuego
2021-09-21,61,24,Tucumán
2021-09-22,64,2,Buenos Aires
2021-09-22,75,1,CABA
2021-09-22,72,3,Catamarca
2021-09-22,61,6,Chaco
2021-09-22,59,7,Chubut
2021-09-22,66,4,Córdoba
2021-09-22,66,5,Corrientes
2021-09-22,64,8,Entre Ríos
2021-09-22,71,9,Formosa
2021-09-22,66,10,Jujuy
2021-09-22,68,11,La Pampa
2021-09-22,68,12,La Rioja
2021-09-22,62,13,Mendoza
2021-09-22,54,14,Misiones
2021-09-22,69,15,Neuquén
2021-09-22,66,16,Río Negro
2021-09-22,68,22,S del Estero
2021-09-22,58,17,Salta
2021-09-22,64,18,San Juan
2021-09-22,66,19,San Luis
2021-09-22,56,20,Santa Cruz
2021-09-22,67,21,Santa Fe
2021-09-22,65,23,T del Fuego
2021-09-22,61,24,Tucumán
2021-09-23,65,2,Buenos Aires
2021-09-23,75,1,CABA
2021-09-23,72,3,Catamarca
2021-09-23,61,6,Chaco
2021-09-23,59,7,Chubut
2021-09-23,66,4,Córdoba
2021-09-23,66,5,Corrientes
2021-09-23,64,8,Entre Ríos
2021-09-23,71,9,Formosa
2021-09-23,66,10,Jujuy
2021-09-23,68,11,La Pampa
2021-09-23,68,12,La Rioja
2021-09-23,63,13,Mendoza
2021-09-23,54,14,Misiones
2021-09-23,70,15,Neuquén
2021-09-23,67,16,Río Negro
2021-09-23,69,22,S del Estero
2021-09-23,58,17,Salta
2021-09-23,65,18,San Juan
2021-09-23,67,19,San Luis
2021-09-23,56,20,Santa Cruz
2021-09-23,68,21,Santa Fe
2021-09-23,65,23,T del Fuego
2021-09-23,61,24,Tucumán
2021-09-24,65,2,Buenos Aires
2021-09-24,76,1,CABA
2021-09-24,72,3,Catamarca
2021-09-24,61,6,Chaco
2021-09-24,60,7,Chubut
2021-09-24,66,4,Córdoba
2021-09-24,66,5,Corrientes
2021-09-24,64,8,Entre Ríos
2021-09-24,71,9,Formosa
2021-09-24,66,10,Jujuy
2021-09-24,69,11,La Pampa
2021-09-24,68,12,La Rioja
2021-09-24,63,13,Mendoza
2021-09-24,54,14,Misiones
2021-09-24,70,15,Neuquén
2021-09-24,67,16,Río Negro
2021-09-24,69,22,S del Estero
2021-09-24,58,17,Salta
2021-09-24,65,18,San Juan
2021-09-24,67,19,San Luis
2021-09-24,57,20,Santa Cruz
2021-09-24,68,21,Santa Fe
2021-09-24,66,23,T del Fuego
2021-09-24,61,24,Tucumán
2021-09-25,65,2,Buenos Aires
2021-09-25,76,1,CABA
2021-09-25,72,3,Catamarca
2021-09-25,61,6,Chaco
2021-09-25,60,7,Chubut
2021-09-25,66,4,Córdoba
2021-09-25,66,5,Corrientes
2021-09-25,64,8,Entre Ríos
2021-09-25,71,9,Formosa
2021-09-25,66,10,Jujuy
2021-09-25,69,11,La Pampa
2021-09-25,68,12,La Rioja
2021-09-25,63,13,Mendoza
2021-09-25,54,14,Misiones
2021-09-25,70,15,Neuquén
2021-09-25,67,16,Río Negro
2021-09-25,69,22,S del Estero
2021-09-25,58,17,Salta
2021-09-25,65,18,San Juan
2021-09-25,67,19,San Luis
2021-09-25,57,20,Santa Cruz
2021-09-25,68,21,Santa Fe
2021-09-25,66,23,T del Fuego
2021-09-25,61,24,Tucumán
2021-09-26,65,2,Buenos Aires
2021-09-26,76,1,CABA
2021-09-26,72,3,Catamarca
2021-09-26,61,6,Chaco
2021-09-26,60,7,Chubut
2021-09-26,66,4,Córdoba
2021-09-26,66,5,Corrientes
2021-09-26,64,8,Entre Ríos
2021-09-26,71,9,Formosa
2021-09-26,66,10,Jujuy
2021-09-26,69,11,La Pampa
2021-09-26,68,12,La Rioja
2021-09-26,63,13,Mendoza
2021-09-26,54,14,Misiones
